Symbol,last_close,med_dollar,active_days,sessions,first,peak,crush,age_years
OCSL,12.94,5468797.55962426,32,32,2017-10-18,23.25,1.796754250386399,8.83230663928816
OCUL,11.01,18825297.809341155,32,32,2016-01-04,22.95,2.084468664850136,10.620123203285422
ODC,91.26,11128686.49320917,32,32,2016-01-04,106.44,1.1663379355687047,10.620123203285422
ODFL,208.0,340302134.1220273,32,32,2016-01-04,248.73,1.1958173076923075,10.620123203285422
OEC,6.07,3078293.1630178504,32,32,2016-01-04,36.0,5.930807248764415,10.620123203285422
OEF,378.75,76740468.53509282,32,32,2016-01-04,383.8,1.0133333333333334,10.620123203285422
OESX,19.08,420313.59216780006,32,32,2016-01-04,116.7,6.116352201257862,10.620123203285422
OFG,53.05,13541976.715257375,32,32,2016-01-04,53.95,1.0169651272384543,10.620123203285422
OFIX,10.22,3353285.49964205,32,32,2016-01-04,67.71,6.625244618395302,10.620123203285422
OFLX,28.25,1254707.337869505,32,32,2016-01-04,185.0,6.548672566371682,10.620123203285422
OGE,47.06,60138447.54177119,32,32,2016-01-04,49.95,1.0614109647258818,10.620123203285422
OGIG,49.7422,253081.89117055776,32,32,2018-06-05,63.68,1.280200714885952,8.202600958247775
OGN,13.68,29671741.875923492,32,32,2021-06-03,39.36,2.8771929824561404,5.207392197125257
OGS,81.05,38011975.06497493,32,32,2016-01-04,96.69,1.1929673041332511,10.620123203285422
OHI,46.44,87245170.08039552,32,32,2016-01-04,51.72,1.1136950904392766,10.620123203285422
OI,6.36,20416321.589111313,32,32,2016-01-04,25.68,4.037735849056603,10.620123203285422
OIA,6.05,669933.3646534001,32,32,2016-01-04,8.48,1.4016528925619836,10.620123203285422
OIH,420.49,90511818.38984683,32,32,2016-01-04,701.8,1.6690052082094697,10.620123203285422
OII,53.1,38087679.115181506,32,32,2016-01-04,54.11,1.019020715630885,10.620123203285422
OILK,53.9,5847335.995830255,32,32,2016-09-28,143.3,2.658627087198516,9.886379192334017
OIS,8.97,4941662.027450451,32,32,2016-01-04,41.2,4.593088071348941,10.620123203285422
OKE,97.07,311477053.7960584,32,32,2016-01-04,117.05,1.2058308437210261,10.620123203285422
OKTA,143.92,380292187.92885107,32,32,2017-04-07,291.78,2.0273763201778765,9.363449691991786
OLED,84.45,54374420.635461666,32,32,2016-01-04,260.29,3.082178804026051,10.620123203285422
