trade_idx,ticker,entry_date,bar_count_at_entry,spy_dk_at_entry,species_classification,W1,W2,W3,cohort,days_held,pnl_pct,exit_reason
624,JILL,2023-08-10,846,0,,False,False,False,noW3,13,0.018943,exit_a_not_accumulate
625,NMRK,2023-08-22,854,0,,False,False,False,noW3,1,0.013554,exit_a_not_accumulate
626,SXC,2023-08-23,855,0,,False,False,False,noW3,1,0.001112,exit_a_not_accumulate
627,OXY,2023-08-21,853,0,,False,False,False,noW3,7,-0.02338,exit_a_not_accumulate
628,LQDT,2023-08-22,854,0,,False,False,False,noW3,6,0.006074,exit_a_not_accumulate
629,OFIX,2023-08-22,854,0,,False,False,False,noW3,6,0.102688,exit_a_not_accumulate
630,SAA,2023-06-05,800,0,,False,False,False,noW3,86,0.058991,exit_a_not_accumulate
631,DVA,2023-08-09,845,0,,False,False,False,noW3,27,-0.122241,exit_f_catastrophic
632,CVGW,2023-07-18,829,0,,False,False,False,noW3,50,-0.12018,exit_f_catastrophic
633,LRN,2023-08-24,856,0,,False,False,False,noW3,13,0.046005,exit_a_not_accumulate
634,CMT,2023-08-30,860,0,,False,False,False,noW3,7,-0.081298,exit_a_not_accumulate
635,PRLB,2023-08-04,842,0,,False,False,False,noW3,39,-0.121595,exit_f_catastrophic
636,OFIX,2023-09-05,863,0,,False,False,False,noW3,7,-0.354663,exit_f_catastrophic
637,PHI,2023-08-07,843,0,,False,False,False,noW3,37,-0.117021,exit_f_catastrophic
638,LQDT,2023-09-01,862,0,,False,False,False,noW3,12,0.007914,exit_a_not_accumulate
639,OFIX,2023-09-12,868,0,,False,False,False,noW3,1,0.01072,exit_a_not_accumulate
640,NC,2023-09-13,869,0,,False,False,False,noW3,1,0.04066,exit_a_not_accumulate
641,PLAB,2023-09-07,865,0,,False,False,False,noW3,8,-0.050244,exit_a_not_accumulate
642,LIVE,2023-08-28,844,0,,False,False,False,noW3,21,-0.101489,exit_f_catastrophic
643,FTDR,2023-07-19,830,0,,False,False,False,noW3,62,-0.103956,exit_f_catastrophic
644,MPX,2023-09-18,872,0,,False,False,False,noW3,1,0.010409,exit_a_not_accumulate
645,CMT,2023-09-15,871,0,,False,False,False,noW3,6,0.040705,exit_a_not_accumulate
646,LIVE,2023-09-18,857,0,,False,False,False,noW3,3,0.05395,exit_a_not_accumulate
647,VFC,2023-08-02,840,0,,False,False,False,noW3,55,-0.100579,exit_f_catastrophic
648,CLMT,2023-09-19,873,0,,False,False,False,noW3,7,-0.02584,exit_a_not_accumulate
649,IDYA,2023-09-13,869,0,,False,False,False,noW3,19,-0.116016,exit_f_catastrophic
650,KRO,2023-09-25,877,0,,False,False,False,noW3,7,-0.081481,exit_a_not_accumulate
651,MYFW,2023-07-18,827,0,,False,False,False,noW3,77,-0.153686,exit_f_catastrophic
652,PTEN,2023-09-06,864,0,,False,False,False,noW3,28,-0.138558,exit_f_catastrophic
653,MIRM,2023-09-14,870,0,,False,False,False,noW3,20,-0.116014,exit_f_catastrophic
654,MITK,2023-09-28,880,0,,False,False,False,noW3,7,-0.005566,exit_a_not_accumulate
655,IDYA,2023-10-02,882,0,,False,False,False,noW3,7,0.041261,exit_a_not_accumulate
656,VFC,2023-09-27,879,0,,False,False,False,noW3,13,-0.047052,exit_a_not_accumulate
657,DT,2023-09-28,880,0,,False,False,False,noW3,12,0.027672,exit_a_not_accumulate
658,DVA,2023-09-05,863,0,,False,False,False,noW3,36,-0.211205,exit_f_catastrophic
659,HAS,2023-06-29,817,0,,False,False,False,noW3,105,-0.138166,exit_f_catastrophic
660,MD,2023-09-19,873,0,,False,False,False,noW3,24,-0.071767,exit_a_not_accumulate
661,NC,2023-10-10,888,0,,False,False,False,noW3,6,0.047242,exit_a_not_accumulate
662,TWI,2023-10-04,884,0,,False,False,False,noW3,13,0.036364,exit_a_not_accumulate
663,VSH,2023-10-12,890,0,,False,False,False,noW3,7,-0.036868,exit_a_not_accumulate
664,MYFW,2023-10-03,881,0,,False,False,False,noW3,20,-0.187952,exit_f_catastrophic
665,NC,2023-10-17,893,0,,False,False,False,noW3,7,-0.052949,exit_a_not_accumulate
666,VFC,2023-10-20,896,0,,False,False,False,noW3,5,0.010129,exit_a_not_accumulate
667,XRX,2023-10-25,899,0,,False,False,False,noW3,1,0.011566,exit_a_not_accumulate
668,REX,2023-08-24,856,0,,False,False,False,noW3,64,0.00518,exit_a_not_accumulate
669,CPRX,2023-09-18,872,0,,False,False,False,noW3,42,-0.035573,exit_a_not_accumulate
670,MIRM,2023-10-04,884,0,,False,False,False,noW3,26,-0.045868,exit_a_not_accumulate
671,UFCS,2023-10-27,901,0,,False,False,False,noW3,3,0.021191,exit_a_not_accumulate
672,CARS,2023-10-23,897,0,,False,False,False,noW3,8,-0.071341,exit_a_not_accumulate
673,VFC,2023-10-27,901,0,,False,False,False,noW3,4,-0.143106,exit_f_catastrophic
674,NMRK,2023-10-30,902,0,,False,False,False,noW3,1,0.016129,exit_a_not_accumulate
675,VFC,2023-10-31,903,0,,False,False,False,noW3,1,-0.116059,exit_f_catastrophic
676,FTDR,2023-09-19,873,0,,False,False,False,noW3,44,0.056665,exit_a_not_accumulate
677,VFC,2023-11-01,904,0,,False,False,False,noW3,1,0.113534,exit_a_not_accumulate
678,VRNS,2023-11-02,905,0,,False,False,False,noW3,1,0.026567,exit_a_not_accumulate
679,CRESY,2023-11-03,906,0,,False,False,False,noW3,4,0.025372,exit_a_not_accumulate
680,VRNS,2023-11-06,907,0,,False,False,False,noW3,2,0.028505,exit_a_not_accumulate
681,SDD,2023-09-08,866,0,,False,False,False,noW3,62,0.162864,exit_a_not_accumulate
682,GHM,2023-11-07,908,0,,False,False,False,noW3,2,0.031843,exit_a_not_accumulate
683,METC,2023-11-09,910,0,,False,False,False,noW3,1,0.056866,exit_a_not_accumulate
684,MTDR,2023-11-09,910,0,,False,False,False,noW3,1,0.006416,exit_a_not_accumulate
685,HLIT,2023-11-09,910,0,,False,False,False,noW3,1,0.006573,exit_a_not_accumulate
686,NHTC,2023-10-20,896,0,,False,False,False,noW3,24,-0.001848,exit_a_not_accumulate
687,VNO,2023-11-06,907,0,,False,False,False,noW3,7,-0.119205,exit_f_catastrophic
688,SM,2023-11-06,907,0,,False,False,False,noW3,7,-0.01439,exit_a_not_accumulate
689,RES,2023-11-09,910,0,,False,False,False,noW3,4,0.017663,exit_a_not_accumulate
690,UBR,2023-11-10,911,0,,False,False,False,noW3,3,0.0,exit_a_not_accumulate
691,KRO,2023-11-06,907,0,,False,False,False,noW3,8,0.176471,exit_a_not_accumulate
692,TME,2023-11-08,909,0,,False,False,False,noW3,6,0.025435,exit_a_not_accumulate
693,MYFW,2023-10-24,896,0,,False,False,False,noW3,22,0.311284,exit_a_not_accumulate
694,BOX,2023-10-31,903,0,,False,False,False,noW3,15,0.049233,exit_a_not_accumulate
695,AMTB,2023-11-10,911,0,,False,False,False,noW3,5,0.103284,exit_a_not_accumulate
696,PLBC,2023-09-20,869,0,,False,False,False,noW3,57,0.002325,exit_a_not_accumulate
697,MITK,2023-11-10,911,0,,False,False,False,noW3,10,0.068571,exit_a_not_accumulate
698,KNOP,2023-09-13,869,0,,False,False,False,noW3,69,-0.108065,exit_f_catastrophic
699,OZK,2023-10-05,885,0,,False,False,False,noW3,47,0.125757,exit_a_not_accumulate
