ticker,target_date,bar_count,frame_a_s_n,frame_b_s_n,abs_diff,both_in_w1_band,only_a,only_b,band_label
CRNT,2020-04-24,10,0.8310156633938046,0.9919532057363849,0.1609375423425803,False,False,False,neither_in_band
FDUS,2020-04-03,2,0.9619403640506862,0.5595425444242943,0.4023978196263919,False,True,False,only_A_in_band
SLYG,2020-04-22,14,0.8977236276355934,0.9366160771144346,0.038892449478841185,False,False,False,neither_in_band
CNP,2020-04-03,2,0.9669023287307908,0.5441241026222248,0.4227782261085661,False,True,False,only_A_in_band
SFST,2020-04-22,14,0.9451842499560811,0.9092851681131526,0.03589908184292845,False,False,False,neither_in_band
LOOP,2020-04-03,2,0.9496105535290842,0.5531811038169142,0.39642944971217,False,False,False,neither_in_band
PKW,2020-04-28,18,0.880009342862997,0.9026110075629352,0.022601664699938184,False,False,False,neither_in_band
GHYG,2020-04-15,9,0.9318674338089733,0.7795000164119974,0.1523674173969759,False,False,False,neither_in_band
ASRV,2020-04-03,2,0.9563161222602166,0.5547290674905713,0.4015870547696453,False,True,False,only_A_in_band
HP,2020-04-08,5,0.9091136593225551,0.9324593191889275,0.023345659866372492,False,False,False,neither_in_band
UJUL,2020-04-03,2,0.9606379984787593,0.545727476855549,0.4149105216232103,False,True,False,only_A_in_band
CP,2020-04-27,17,0.9423253949248123,1.0437808084734719,0.10145541354865961,False,False,False,neither_in_band
APH,2020-04-03,2,0.9488734885935092,0.5605310515624488,0.3883424370310604,False,False,False,neither_in_band
RFCI,2020-04-08,2,0.9399586296045103,0.5331109925889789,0.4068476370155314,False,False,False,neither_in_band
CRNX,2020-04-27,17,1.0783722032169905,1.0079397467124576,0.07043245650453289,False,False,False,neither_in_band
HDGE,2020-04-17,11,0.8997137559542943,0.915390767133419,0.01567701117912479,False,False,False,neither_in_band
NUS,2020-04-09,6,0.8993329456955949,0.9236731088860338,0.024340163190438968,False,False,False,neither_in_band
GRPN,2020-04-08,5,0.9103623572007484,0.9260874899174474,0.015725132716698953,False,False,False,neither_in_band
KN,2020-04-03,2,0.9614926828392373,0.558175781965507,0.4033169008737303,False,True,False,only_A_in_band
SKOR,2020-04-03,2,0.9581834579939039,0.5615306981020852,0.3966527598918187,False,True,False,only_A_in_band
SXC,2020-04-06,2,0.9640192998839815,1.120681758233667,0.1566624583496855,False,True,False,only_A_in_band
FLCB,2020-04-06,2,0.9540396626592328,1.1221565204421118,0.168116857782879,False,True,False,only_A_in_band
MO,2020-04-07,4,0.9276842663916136,0.9624668641091303,0.03478259771751668,False,False,True,only_B_in_band
FDLO,2020-04-09,6,0.833887712706913,0.8584665268889053,0.02457881418199237,False,False,False,neither_in_band
IBND,2020-04-06,2,0.9706456411581262,1.1231766047930118,0.1525309636348856,False,False,False,neither_in_band
