ticker,delta_bar,n_rows,classification
BBAX,0.27033750940918977,1559,volatile
BBC,0.31957597789249437,1559,volatile
BBCA,0.2627558254005879,1561,normal
BBCP,0.23778400163838948,1213,normal
BBDC,0.24711514066362264,819,normal
BBDO,0.19438117964435214,448,calm
BBGI,0.16181837682808684,1525,calm
BBIN,0.24366114956822105,1561,normal
BBJP,0.24233218328133235,1557,normal
BBMC,0.31159724222740265,1536,volatile
BBP,0.3555950922218766,1562,volatile
BBVA,0.23110988114387784,1145,normal
BC,0.27650816057991084,1561,volatile
BCD,0.20423834509502173,1504,calm
BCDA,0.1454537920673411,1255,calm
BCH,0.23556415350942964,1551,normal
BCML,0.2073162779690647,1496,calm
BCRX,0.19823135544432502,1475,calm
BCS,0.277788993347243,1376,volatile
BCSF,0.24959540546352535,1285,normal
BDEC,0.22171333233864282,1304,normal
BDN,0.2513603417539514,1100,normal
BEAM,0.1847414334357162,1561,calm
BEN,0.25418427482301076,1559,normal
BEP,0.21071648780860694,1561,calm
BFC,0.23973578364047063,1562,normal
BFEB,0.217161269758325,1277,normal
BFOR,0.29420565124969716,1562,volatile
BFS,0.26619172892880977,1560,normal
BFST,0.22110464720786835,1556,normal
BGSF,0.2514283648959648,1367,normal
BHB,0.2378999683903721,1562,normal
BHE,0.16810400731652544,1559,calm
BHFAL,0.23548720218819122,1384,normal
BHFAO,0.253142360656934,1383,normal
BHP,0.30753166506986634,1561,volatile
BHR,0.23369537289059816,883,normal
BHVN,0.14161815961932867,1562,calm
BILI,0.15698815570468402,1562,calm
BIP,0.29145908619335387,1558,volatile
BIPC,0.2919696043272648,1561,volatile
BJAN,0.21249964189253662,1361,calm
BJRI,0.33269380131247267,1562,volatile
BJUL,0.227500848499638,1326,normal
BK,0.24247555443128843,1541,normal
BKD,0.23636646331117334,1215,normal
BKE,0.31938498635044976,1561,volatile
BKH,0.2815736869670224,1561,volatile
BKHY,0.22609753703604857,1170,normal
BKIE,0.2522649584834289,1525,normal
BKLN,0.19033216943995246,277,calm
BKMC,0.29556826874603936,1537,volatile
BKR,0.260709763411946,1561,normal
BKSE,0.34535309045005097,1536,volatile
BKTI,0.16438013165340387,1549,calm
BLBD,0.2345516049832989,1561,normal
BLCN,0.27274020142443617,1558,volatile
BLFS,0.2499888759658045,1562,normal
BLV,0.29824368283209923,1557,volatile
BLX,0.23500367373621764,1507,normal
BMAR,0.20142201629490242,1306,calm
BMAY,0.2041166259174401,1132,calm
BMRC,0.2695337418915565,1556,volatile
BMY,0.31767062792721545,1561,volatile
BND,0.28762100633336884,1431,volatile
BNDC,0.17384133287645462,517,calm
BNOV,0.23112926135709944,1187,normal
BNS,0.2795747133250206,1561,volatile
BOCT,0.2183911068771323,1295,normal
BOH,0.2539794225402632,1562,normal
BOSC,0.2489767590068284,594,normal
BOTJ,0.23968510853593908,1282,normal
BOUT,0.292476241896539,1551,volatile
