symbol,decision_timestamp,S_UF,R_UF,D,M,R_rev,U_star,C_k,P,B,forward_return
GOOG,2026-02-12T05:00:00+00:00,0.6666666666666667,0.6010680476994298,-1,0,0,0.6666666666666666,3,0,0,0.01787503636422394
UBER,2025-11-21T05:00:00+00:00,0.2894736842105264,0.3529872040624515,1,0,0,0.4429987365088882,3,0,0,-0.11935137713127464
UBER,2026-01-22T05:00:00+00:00,0.2894736842105264,0.3567970666312433,1,0,0,0.44445675896317083,3,0,0,-0.1053779069767442
UBER,2026-02-12T05:00:00+00:00,0.2894736842105264,0.3583497486630193,1,0,0,0.44139606482085636,3,0,0,0.03706823925863523
AES,2025-11-21T05:00:00+00:00,0.5,0.2998000500309002,0,0,0,0.3368711512983337,3,0,0,0.20072727272727287
AES,2026-01-22T05:00:00+00:00,0.5,0.29971325528657566,0,0,0,0.34077735135900633,3,0,0,0.130047912388775
AES,2026-02-12T05:00:00+00:00,0.5,0.29976960626904403,0,0,0,0.3382403399711175,3,0,0,0.019135802469135932
HPE,2025-11-21T05:00:00+00:00,0.5454545454545454,0.3189812031189863,1,0,0,0.3558843403895054,3,0,0,0.041423001949317806
HPE,2026-01-22T05:00:00+00:00,0.5454545454545454,0.3185658096216574,1,0,0,0.3446134031779302,3,0,0,0.000468164794007464
HPE,2026-02-12T05:00:00+00:00,0.5,0.3183607364709054,-1,0,1,0.3429127162746525,3,2,0,-0.03738738738738734
NOW,2025-11-21T05:00:00+00:00,0.3666666666666667,0.2677944780674931,-1,0,1,0.39516082019610405,3,2,0,-0.35907207749898584
NOW,2026-01-22T05:00:00+00:00,0.375,0.2653711246777881,-1,0,1,0.35818035233509776,3,2,0,-0.1889390168014935
NOW,2026-02-12T05:00:00+00:00,0.35294117647058826,0.26170865394110576,1,0,1,0.41033849836871106,3,2,0,0.009487849743440746
DVN,2025-11-21T05:00:00+00:00,0.3333333333333333,0.2917885664307641,-1,-1,1,0.7666666666666666,3,2,0,0.2451612903225806
DVN,2026-01-22T05:00:00+00:00,0.3333333333333333,0.29547274333521273,-1,-1,1,0.7666666666666666,3,2,0,0.1687730384412851
DVN,2026-02-12T05:00:00+00:00,0.3333333333333333,0.2968744800699021,-1,-1,1,0.7666666666666666,3,2,0,0.009781619654231077
KEY,2025-11-21T05:00:00+00:00,0.3181818181818182,0.3400630439767571,-1,0,1,0.41975183549535183,3,2,0,0.24579124579124567
KEY,2026-01-22T05:00:00+00:00,0.3181818181818182,0.3461672865767809,-1,0,1,0.4210972736600228,3,2,0,0.029207232267037586
KEY,2026-02-12T05:00:00+00:00,0.3181818181818182,0.3485092807697371,-1,0,1,0.4210868994905447,3,2,0,0.020220588235293935
HAL,2025-11-21T05:00:00+00:00,0.28571428571428575,0.36698318297682125,-1,-1,1,0.7666666666666666,3,2,0,0.35979860573199063
HAL,2026-01-22T05:00:00+00:00,0.28571428571428575,0.36973279228710926,-1,-1,1,0.7666666666666666,3,2,0,0.04122182680901543
HAL,2026-02-12T05:00:00+00:00,0.28571428571428575,0.37193597634143866,-1,-1,1,0.7666666666666666,3,2,0,0.023913677456984583
KO,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.09444825222755315
KO,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.11089467093363004
KO,2026-02-12T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.010632911392405076
KHC,2025-11-21T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,-0.03519177540529861
KHC,2026-01-22T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.073943661971831
KHC,2026-02-12T05:00:00+00:00,1,0.4666666666666666,0,0,0,0.3333333333333333,3,0,0,0.0032894736842103978
CMG,2025-11-21T05:00:00+00:00,0.5,0.31216648082855203,0,0,0,0.733685531296944,3,1,0,0.1868479291811571
CMG,2026-01-22T05:00:00+00:00,0.3888888888888889,0.31034802447390214,0,0,0,0.7567023699601371,3,1,0,-0.07400098667982236
CMG,2026-02-12T05:00:00+00:00,0.3888888888888889,0.3098172578703277,0,0,0,0.7580689422631847,3,1,0,0.04743303571428559
