step,file,chunk,phi,H,energy,visual,auditory,smell,taste,touch,emotion,lexical
214,Paradise Lost.txt,25,0.500,0.000,0.500,0.885,0.923,0.908,0.949,0.893,0.736,0.000
215,Paradise Lost.txt,26,0.500,0.000,0.500,0.829,0.897,0.922,0.963,0.903,0.853,0.000
216,Paradise Lost.txt,27,0.500,0.000,0.500,0.869,0.911,0.912,0.967,0.892,0.919,0.000
217,Paradise Lost.txt,28,0.500,0.000,0.500,0.894,0.885,0.922,0.974,0.880,0.955,0.000
218,Paradise Lost.txt,29,0.500,0.000,0.500,0.887,0.858,0.917,0.923,0.909,0.607,0.000
219,Paradise Lost.txt,30,0.500,0.000,0.500,0.866,0.844,0.907,0.935,0.940,0.784,0.000
220,Paradise Lost.txt,31,0.500,0.000,0.500,0.879,0.869,0.936,0.957,0.921,0.881,0.000
221,Paradise Lost.txt,32,0.500,0.000,0.500,0.903,0.860,0.886,0.954,0.947,0.935,0.000
222,Paradise Lost.txt,33,0.500,0.000,0.500,0.888,0.900,0.849,0.920,0.927,0.964,0.000
223,Paradise Lost.txt,34,0.500,0.000,0.500,0.873,0.906,0.900,0.873,0.925,0.980,0.000
224,Paradise Lost.txt,35,0.500,0.000,0.500,0.879,0.909,0.884,0.891,0.912,0.989,0.000
225,Paradise Lost.txt,36,0.500,0.000,0.500,0.912,0.922,0.898,0.936,0.911,0.625,0.000
226,Paradise Lost.txt,37,0.500,0.000,0.500,0.874,0.927,0.919,0.922,0.947,0.601,0.000
227,Paradise Lost.txt,38,0.500,0.000,0.500,0.896,0.884,0.909,0.852,0.951,0.715,0.000
228,Paradise Lost.txt,39,0.500,0.000,0.500,0.908,0.905,0.857,0.877,0.964,0.733,0.000
229,Paradise Lost.txt,40,0.500,0.000,0.500,0.897,0.912,0.900,0.914,0.955,0.767,0.000
230,Paradise Lost.txt,41,0.500,0.000,0.500,0.900,0.910,0.931,0.882,0.869,0.852,0.000
231,Paradise Lost.txt,42,0.500,0.000,0.500,0.938,0.912,0.886,0.852,0.919,0.763,0.000
232,Paradise Lost.txt,43,0.500,0.000,0.500,0.880,0.905,0.931,0.892,0.946,0.803,0.000
233,Paradise Lost.txt,44,0.500,0.000,0.500,0.890,0.888,0.952,0.883,0.923,0.876,0.000
234,Paradise Lost.txt,45,0.500,0.000,0.500,0.918,0.926,0.910,0.916,0.949,0.928,0.000
235,Paradise Lost.txt,46,0.500,0.000,0.500,0.926,0.922,0.905,0.933,0.894,0.959,0.000
236,Paradise Lost.txt,47,0.500,0.000,0.500,0.914,0.926,0.910,0.952,0.908,0.609,0.000
237,Paradise Lost.txt,48,0.500,0.000,0.500,0.908,0.899,0.902,0.915,0.883,0.416,0.000
238,Paradise Lost.txt,49,0.500,0.000,0.500,0.922,0.884,0.886,0.922,0.931,0.547,0.000
